CAMPUS,CAMPNAME,DISTRICT,DISTNAME,CNTYNAME,COUNTY,REGION,CFLCHART,CFLALTED,PAIRNAME,PAIRCAMP,GRDTYPE,GRDSPAN
"'001902001","CAYUGA H S","'001902","CAYUGA ISD","ANDERSON","'001","'07","N","N"," "," ","S","'09 - 12"
"'001902041","CAYUGA MIDDLE","'001902","CAYUGA ISD","ANDERSON","'001","'07","N","N"," "," ","M","'06 - 08"
"'001902103","CAYUGA EL","'001902","CAYUGA ISD","ANDERSON","'001","'07","N","N"," "," ","E","'PK - 05"
"'001903001","ELKHART H S","'001903","ELKHART ISD","ANDERSON","'001","'07","N","N"," "," ","S","'09 - 12"
"'001903041","ELKHART MIDDLE","'001903","ELKHART ISD","ANDERSON","'001","'07","N","N"," "," ","M","'06 - 08"
"'001903101","ELKHART EL","'001903","ELKHART ISD","ANDERSON","'001","'07","N","N","ELKHART INT","'001903102","E","'PK - 02"
"'001903102","ELKHART INT","'001903","ELKHART ISD","ANDERSON","'001","'07","N","N"," "," ","E","'03 - 05"
"'001904001","FRANKSTON H S","'001904","FRANKSTON ISD","ANDERSON","'001","'07","N","N"," "," ","S","'09 - 12"
"'001904041","FRANKSTON MIDDLE","'001904","FRANKSTON ISD","ANDERSON","'001","'07","N","N"," "," ","M","'06 - 08"
"'001904102","FRANKSTON EL","'001904","FRANKSTON ISD","ANDERSON","'001","'07","N","N"," "," ","E","'EE - 05"
"'001906002","NECHES H S","'001906","NECHES ISD","ANDERSON","'001","'07","N","N"," "," ","S","'07 - 12"
"'001906102","NECHES EL","'001906","NECHES ISD","ANDERSON","'001","'07","N","N"," "," ","E","'PK - 06"
"'001907001","PALESTINE H S","'001907","PALESTINE ISD","ANDERSON","'001","'07","N","N"," "," ","S","'09 - 12"
"'001907041","PALESTINE J H","'001907","PALESTINE ISD","ANDERSON","'001","'07","N","N"," "," ","M","'07 - 08"
"'001907101","NORTHSIDE PRI","'001907","PALESTINE ISD","ANDERSON","'001","'07","N","N","SOUTHSIDE EL","'001907107","E","'KG - 01"
"'001907102","WASHINGTON EARLY CHILDHOOD CENTER","'001907","PALESTINE ISD","ANDERSON","'001","'07","N","N","SOUTHSIDE EL","'001907107","E","'PK - PK"
"'001907107","SOUTHSIDE EL","'001907","PALESTINE ISD","ANDERSON","'001","'07","N","N"," "," ","E","'02 - 03"
"'001907110","STORY INT","'001907","PALESTINE ISD","ANDERSON","'001","'07","N","N"," "," ","E","'04 - 06"
"'001908002","WESTWOOD H S","'001908","WESTWOOD ISD","ANDERSON","'001","'07","N","N"," "," ","S","'09 - 12"
"'001908041","WESTWOOD J H","'001908","WESTWOOD ISD","ANDERSON","'001","'07","N","N"," "," ","M","'07 - 08"
"'001908101","WESTWOOD EL","'001908","WESTWOOD ISD","ANDERSON","'001","'07","N","N"," "," ","E","'03 - 06"
"'001908102","WESTWOOD PRI","'001908","WESTWOOD ISD","ANDERSON","'001","'07","N","N","WESTWOOD EL","'001908101","E","'EE - 02"
"'001909001","SLOCUM H S","'001909","SLOCUM ISD","ANDERSON","'001","'07","N","N"," "," ","S","'09 - 12"
"'001909101","SLOCUM PK - 8","'001909","SLOCUM ISD","ANDERSON","'001","'07","N","N"," "," ","E","'PK - 08"
"'002901001","ANDREWS H S","'002901","ANDREWS ISD","ANDREWS","'002","'18","N","N"," "," ","S","'09 - 12"
"'002901002","ANDREWS EDUCATION CENTER","'002901","ANDREWS ISD","ANDREWS","'002","'18","N","Y"," "," ","S","'09 - 12"
"'002901041","ANDREWS MIDDLE","'002901","ANDREWS ISD","ANDREWS","'002","'18","N","N"," "," ","M","'06 - 08"
"'002901101","DEVONIAN EL","'002901","ANDREWS ISD","ANDREWS","'002","'18","N","N"," "," ","E","'02 - 03"
"'002901104","UNDERWOOD EL","'002901","ANDREWS ISD","ANDREWS","'002","'18","N","N"," "," ","E","'04 - 05"
"'002901105","CLEARFORK EL","'002901","ANDREWS ISD","ANDREWS","'002","'18","N","N","DEVONIAN EL","'002901101","E","'EE - 01"
"'003801001","PINEYWOODS COMMUNITY ACADEMY H S","'003801","PINEYWOODS COMMUNITY ACADEMY","ANGELINA","'003","'07","Y","N"," "," ","S","'09 - 12"
"'003801042","DR TERRY ROBBINS MIDDLE","'003801","PINEYWOODS COMMUNITY ACADEMY","ANGELINA","'003","'07","Y","N"," "," ","M","'06 - 08"
"'003801103","SARAH STRINDEN EL","'003801","PINEYWOODS COMMUNITY ACADEMY","ANGELINA","'003","'07","Y","N"," "," ","E","'PK - 05"
"'003902001","HUDSON H S","'003902","HUDSON ISD","ANGELINA","'003","'07","N","N"," "," ","S","'09 - 12"
