CAMPUS,CAMPNAME,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSBTOFC,CPSBTOPC,CPSETOFC,CPSETOFP,CPSHEXPA,CPSHTENA,CPSLEXPA,CPSLTENA,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSRTOFC,CPSRTOPC,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST21FC,CPST21FP,CPST21SA,CPST30FC,CPST30FP,CPST30SA,CPSTASFC,CPSTASFP,CPSTBAFC,CPSTBAFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTMSFC,CPSTMSFP,CPSTNOFC,CPSTNOFP,CPSTOPFC,CPSTOPFP,CPSTPHFC,CPSTPHFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA,DISTNAME
"'001902001","CAYUGA H S",2,7.2,27.3,0,1,5.7,20.7,9,2,0,0,0.5,21.6,79.3,0,3,0.9,3.2,76403,0.5,2.4,78597,2.8,14.6,40944,4.4,22.9,52778,7.3,37.7,60664,4.3,22.3,63768,0,0,.,0,0,13.5,69.7,0,0,0,0,0,0,13,11,56.9,0,0,0,0,0,0,8.8,8.3,43.1,5.9,30.3,0,0,0,0,0,0,0,0,14.4,74.4,1.2,6.1,5.6,19.3,70.8,57104,0,0,3.8,19.5,19.3,100,1.4,5.3,54245,"CAYUGA ISD"
"'001902041","CAYUGA MIDDLE",1,5.5,17.9,0,1,3.8,21.2,2,2,0,0,0.5,14.1,78.8,0,3,1.4,8,70049,-2,3.4,-2,1.1,9.6,40474,1.1,10.2,58177,3.1,27.2,53290,3.6,32.2,63008,1.9,17.4,63720,0,0,7.7,69,0,0,0,0,0,0,14.9,9.7,86.2,0,0,0,0,0,0,14.8,1.5,13.8,3.5,31,0,0,0,0,0,0,0,0,10.8,96.1,0.4,3.5,7.7,11.2,62.7,58061,0,0,0,0.4,11.2,100,1.4,8,54245,"CAYUGA ISD"
"'001902103","CAYUGA EL",1.9,6.8,28.6,0,1,7.1,24.7,20,20,0,0,0.8,21.6,75.3,0,0,1.3,4.7,75950,1,5.4,40592,1.9,10.9,41613,3.4,18.9,49138,4.9,27.2,55951,5.7,32.1,61296,1,5.5,63181,0,0,16.9,94.6,0,0,1.9,10.9,0,0,16.3,17,95.2,0,0,0,0,0,0,14.3,0.9,4.8,1,5.4,0,0,0,0,0,0,0,0,16.2,90.5,1.7,9.5,11.9,17.9,62.4,54371,0,0,0,0,15.9,89.1,2.4,8.2,64880,"CAYUGA ISD"
"'001903001","ELKHART H S",7,16.1,43.3,0,0,4,9.2,2,2,1,1,0,39.3,90.8,1,0,1.6,3.7,77604,2.8,7.7,31553,6.5,18.1,36953,10.1,28.3,46502,7,19.7,55691,6.4,17.8,56634,3,8.4,60387,0,0,24.3,67.9,0.6,1.6,2,5.6,0,0,13.3,18.9,52.8,0,0,5,14,0,0,8.8,16.9,47.2,8.5,23.7,2,5.6,0.8,2.3,1,2.8,0,0,18.1,50.6,4,11.1,7,35.7,82.4,48403,0,0,12.3,34.3,28.7,80.4,2,4.6,60466,"ELKHART ISD"
"'001903041","ELKHART MIDDLE",1,3.1,31.8,0,0,5,15.7,2,2,0,0,0,26.8,84.3,1,0,1,3.1,80070,3.2,13.6,34140,5.5,23.3,36264,1,4.2,40410,10,42,51742,4,16.9,54668,0,0,.,0,0,20.8,87.3,0.2,0.7,1,4.2,0.3,1.4,11.2,20.6,86.4,0.7,2.9,0,0,0,0,11.3,3.2,13.6,2,8.5,1,4.2,0,0,0,0,0,0,19.5,81.8,1.4,5.7,4.9,23.8,74.9,45761,0,0,1.8,7.5,22.8,95.8,2,6.3,65097,"ELKHART ISD"
"'001903101","ELKHART EL",3,7.3,41.1,0,0,14,34.1,3,3,0,0,0,27.1,65.9,0,1,1,2.4,68340,0.5,2,34140,1.7,7.2,36510,4,17,42195,12.4,52.6,50781,4,17,54733,1,4.2,56720,0,0,20.6,87.3,0,0,1,4.2,4.6,19.6,15.8,23.6,100,0,0,1,4.2,0,0,13.9,0,0,3,12.7,0,0,0,0,0,0,0,0,18.1,76.7,0.9,3.7,11.7,23.6,57.4,48881,0,0,0,0,21.6,91.5,2.5,6.1,48597,"ELKHART ISD"
"'001903102","ELKHART INT",2,6.2,32.4,0,0,8.5,26.3,11,11,0,0,0,23.9,73.7,0,1,1,3.1,88346,2.5,11.8,31266,4.3,20.1,35835,3,14,43313,7.5,35.3,51692,4,18.7,54563,0,0,.,0,0,19.4,90.6,0,0,0,0,0.5,2.3,12.1,20.4,95.3,0,0,1,4.7,0,0,13.2,1,4.7,1,4.7,1,4.7,0,0,0,0,0,0,17,79.4,3.9,18.3,8.2,21.4,66,45450,0,0,0,0,20.4,95.3,1.5,4.6,54607,"ELKHART ISD"
"'001904001","FRANKSTON H S",4.1,12.5,32.9,0,0,5,15.2,7,6,2,2,0,27.9,84.8,0,1,1.4,4.3,79732,2.3,9.1,51642,9.3,36,50271,6,23.5,51279,3.7,14.2,55514,3.6,14,68901,0.8,3.2,59000,0,0,17.6,68.2,0,0,1.1,4.3,0,0,9.6,12.9,50.1,0,0,0,0,0,0,9.5,12.9,49.9,6,23.4,2.2,8.4,0,0,0,0,0,0,23.8,92.2,1.3,4.8,3.8,25.8,78.5,54271,0,0,0.8,3,24.7,95.7,0.7,2,59786,"FRANKSTON ISD"
"'001904041","FRANKSTON MIDDLE",1.9,7.8,24,0,0,4.3,17.7,3,3,2,2,0,19.7,82.3,1,0,2.3,9.6,70886,0,0,.,7.4,44.9,46574,3.3,19.8,48484,3.3,20.2,55003,2.3,13.9,62864,0.2,1.1,59000,0,0,13.8,83.7,0,0,0.9,5.4,0,0,9.6,11.4,69.4,0,0,1,6.1,0,0,11.2,5,30.6,2.3,13.9,0.4,2.4,0,0,0,0,0,0,15,91,1.3,8.1,4.4,16.4,68.5,51059,0,0,0.1,0.9,14.6,88.6,1,4.2,60782,"FRANKSTON ISD"
"'001904102","FRANKSTON EL",2,4.7,42.1,0,0,13.4,31.7,6,6,5,5,0,28.8,68.3,1,0,2,4.7,71978,0,0,.,5.4,21,44375,6,23.3,48250,6,23.3,52833,6.4,24.8,58530,2,7.8,58500,0,0,20,77.5,0,0,0,0,2.7,10.6,15.7,25.8,100,0,0,1,3.9,0,0,14.4,0,0,5.4,20.9,0.4,1.6,0,0,0,0,0,0,20.1,77.7,3,11.6,7.7,25.8,61.2,51844,0,0,0,0,24.8,96.1,1,2.4,57855,"FRANKSTON ISD"
