"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Postsecondary
Readiness",,"US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
1902,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,593,49.70%,1.30%,B,87,B,87,B,87,C,78,B,87,B,86,,,,,,,,Not Earned,,,,,,,,
1902,CAYUGA ISD,1902001,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,171,44.40%,1.80%,A,97,A,96,A,94,B,88,A,94,A,98,,,Earned,Earned,Earned,Not Earned,Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1902,CAYUGA ISD,1902041,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06-אוג,No,No,166,47%,0.60%,B,85,B,85,B,85,C,79,B,85,B,86,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1902,CAYUGA ISD,1902103,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,No,256,55.10%,1.60%,C,75,C,77,C,79,D,62,C,79,D,67,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1903,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"1,194",59%,2.90%,B,83,B,85,B,85,C,70,B,85,C,78,,,,,,,,Not Earned,,,,,,,,
1903,ELKHART ISD,1903001,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,315,47%,1.30%,A,92,A,92,B,89,B,81,B,89,A,91,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1903,ELKHART ISD,1903041,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06-אוג,No,No,270,57%,1.90%,B,83,B,84,B,87,D,65,B,87,C,72,,,Earned,Earned,Earned,Earned,Not Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1903,ELKHART ISD,1903101,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,No,327,68.50%,4%,C,77,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1903,ELKHART ISD,1903102,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,03-מאי,No,No,282,63.10%,4.60%,C,77,C,77,B,80,D,62,B,80,C,70,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1904,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,801,58.80%,4.40%,B,88,B,88,A,90,B,80,A,90,B,84,,,,,,,,Not Earned,,,,,,,,
1904,FRANKSTON ISD,1904001,FRANKSTON H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,245,49.80%,5.30%,A,94,A,94,A,95,B,88,A,95,A,93,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1904,FRANKSTON ISD,1904041,FRANKSTON MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06-אוג,No,No,184,62.50%,3.80%,B,81,C,79,B,84,C,70,B,84,C,74,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1904,FRANKSTON ISD,1904102,FRANKSTON EL,REGION 07: KILGORE,ANDERSON,Elementary,EE - 05,No,No,372,62.90%,4%,B,86,B,88,B,88,C,79,B,88,B,82,,,Not Earned,Not Earned,Earned,,Not Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1906,NECHES ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,309,56.30%,2.30%,B,87,B,88,B,89,C,73,B,89,B,82,,,,,,,,Not Earned,,,,,,,,
1906,NECHES ISD,1906002,NECHES H S,REGION 07: KILGORE,ANDERSON,High School,07-דצמ,No,No,140,47.10%,4.30%,A,96,A,96,A,96,B,84,A,96,A,97,,,Not Earned,Earned,Not Earned,Not Earned,Earned,Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1906,NECHES ISD,1906102,NECHES EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 06,No,No,169,63.90%,0.60%,C,70,C,74,C,76,F,54,C,76,F,56,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
1907,PALESTINE ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,"3,296",80.40%,17.50%,C,75,C,77,B,80,D,65,B,80,D,63,,,,,,,,Not Earned,,,,,,,,
1907,PALESTINE ISD,1907001,PALESTINE H S,REGION 07: KILGORE,ANDERSON,High School,09-דצמ,No,No,997,76.70%,15.20%,B,88,B,88,B,89,D,69,B,89,B,86,,,Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
